country,mw,hyper,value,seed,n_jobs,energy_kwh,co2_tonnes_y,cfe_pct,cfe_abs_pct,ci_weighted_mean,p95_slowdown
CH,10.0000,short_job_s,300.0000,20260520,1994,60331.3467,21.7395,47.8535,100.0000,30.2507,61.0000
FR,10.0000,short_job_s,300.0000,20260520,1994,60331.3467,37.8243,52.4102,100.0000,53.3418,152.4839
FR,10.0000,short_job_s,300.0000,20260519,1994,60331.3467,37.8558,52.2525,100.0000,53.3598,151.9516
CH,10.0000,short_job_s,300.0000,20260522,1994,60331.3467,21.9933,45.3733,100.0000,30.1291,98.5031
FR,10.0000,short_job_s,300.0000,20260521,1994,60331.3467,37.8718,52.1726,100.0000,53.3335,159.1382
IT,10.0000,short_job_s,300.0000,20260517,1994,60331.3467,171.1580,62.3953,0.0000,247.4872,151.2749
FR,10.0000,short_job_s,300.0000,20260517,1994,60331.3467,37.8621,52.2213,100.0000,53.3498,152.4839
IT,10.0000,short_job_s,300.0000,20260520,1994,60331.3467,170.8234,62.6424,0.0000,247.4106,152.4839
IT,10.0000,short_job_s,300.0000,20260521,1994,60331.3467,171.1985,62.3655,0.0000,247.3437,159.1382
IT,10.0000,short_job_s,300.0000,20260522,1994,60331.3467,171.0435,62.4799,0.0000,247.3686,154.4402
FR,10.0000,short_job_s,300.0000,20260522,1994,60331.3467,37.8525,52.2691,100.0000,53.3366,154.4402
FR,10.0000,short_job_s,300.0000,20260523,1994,60331.3467,37.8525,52.2690,100.0000,53.3579,152.4839
FR,10.0000,short_job_s,300.0000,20260524,1994,60331.3467,37.8707,52.1782,100.0000,53.3514,157.5217
IT,10.0000,short_job_s,300.0000,20260523,1994,60331.3467,171.0409,62.4818,0.0000,247.5412,152.4839
IT,10.0000,short_job_s,300.0000,20260518,1994,60331.3467,170.9498,62.5491,0.0000,247.1951,157.1212
IT,10.0000,short_job_s,300.0000,20260519,1994,60331.3467,171.0962,62.4410,0.0000,247.5660,151.9516
DE,10.0000,short_job_s,300.0000,20260518,1994,60331.3467,180.3431,68.8654,0.0000,268.5486,157.1212
DE,10.0000,short_job_s,300.0000,20260520,1994,60331.3467,180.1708,68.9531,0.0000,268.9693,152.9736
DE,10.0000,short_job_s,300.0000,20260517,1994,60331.3467,180.8002,68.6329,0.0000,269.0555,151.9516
DE,10.0000,short_job_s,300.0000,20260521,1994,60331.3467,180.6909,68.6885,0.0000,268.7501,158.8130
DE,10.0000,short_job_s,300.0000,20260523,1994,60331.3467,180.4575,68.8072,0.0000,269.1126,152.9736
DE,10.0000,short_job_s,300.0000,20260524,1994,60331.3467,180.7339,68.6666,0.0000,269.1752,157.1212
IT,10.0000,short_job_s,300.0000,20260524,1994,60331.3467,171.2162,62.3524,0.0000,247.5940,157.1212
DE,10.0000,short_job_s,300.0000,20260519,1994,60331.3467,180.5515,68.7594,0.0000,269.0947,151.9516
PL,10.0000,short_job_s,300.0000,20260517,1994,60331.3467,396.6279,62.4797,0.0000,578.3647,151.2749
DE,10.0000,short_job_s,300.0000,20260522,1994,60331.3467,180.4802,68.7957,0.0000,268.8308,154.4402
PL,10.0000,short_job_s,300.0000,20260521,1994,60331.3467,396.7353,62.4498,0.0000,577.9836,159.1382
PL,10.0000,short_job_s,300.0000,20260520,1994,60331.3467,395.7390,62.7272,0.0000,578.1612,152.4839
PL,10.0000,short_job_s,300.0000,20260523,1994,60331.3467,396.3167,62.5664,0.0000,578.5082,152.4839
PL,10.0000,short_job_s,300.0000,20260524,1994,60331.3467,396.7824,62.4367,0.0000,578.6485,157.1212
PL,10.0000,short_job_s,300.0000,20260519,1994,60331.3467,396.4635,62.5255,0.0000,578.5740,151.9516
PL,10.0000,short_job_s,300.0000,20260518,1994,60331.3467,396.0748,62.6337,0.0000,577.5889,157.1212
PL,10.0000,short_job_s,300.0000,20260522,1994,60331.3467,396.3237,62.5644,0.0000,578.0496,154.4402
